Day,Interval,Quantity
2017-09-04,0500,2017-09-04
2017-09-04,0515,2017-09-04
2017-09-04,0530,2017-09-04
2017-09-04,0545,2017-09-04
2017-09-04,0600,2017-09-04
2017-09-04,0615,2017-09-04
2017-09-04,0630,2017-09-04
2017-09-04,0645,2017-09-04
2017-09-04,0700,2017-09-04
2017-09-04,0715,2017-09-04
2017-09-04,0730,2017-09-04
2017-09-04,0745,2017-09-04
2017-09-04,0800,2017-09-04
2017-09-04,0815,2017-09-04
2017-09-04,0830,2017-09-04
2017-09-04,0845,2017-09-04
2017-09-04,0900,2017-09-04
2017-09-04,0915,2017-09-04
2017-09-04,0930,2017-09-04
2017-09-04,0945,2017-09-04
2017-09-04,1000,2017-09-04
2017-09-04,1015,2017-09-04
2017-09-04,1030,2017-09-04
2017-09-04,1045,2017-09-04
2017-09-04,1100,2017-09-04
2017-09-04,1115,2017-09-04
2017-09-04,1130,2017-09-04
2017-09-04,1145,2017-09-04
2017-09-04,1200,2017-09-04
2017-09-04,1215,2017-09-04
2017-09-04,1230,2017-09-04
2017-09-04,1245,2017-09-04
2017-09-04,1300,2017-09-04
2017-09-04,1315,2017-09-04
2017-09-04,1330,2017-09-04
2017-09-04,1345,2017-09-04
2017-09-04,1400,2017-09-04
2017-09-04,1415,2017-09-04
2017-09-04,1430,2017-09-04
2017-09-04,1445,2017-09-04
2017-09-04,1500,2017-09-04
2017-09-04,1515,2017-09-04
2017-09-04,1530,2017-09-04
2017-09-04,1545,2017-09-04
2017-09-04,1600,2017-09-04
2017-09-04,1615,2017-09-04
2017-09-04,1630,2017-09-04
2017-09-04,1645,2017-09-04
2017-09-04,1700,2017-09-04
2017-09-04,1715,2017-09-04
2017-09-04,1730,2017-09-04
2017-09-04,1745,2017-09-04
2017-09-04,1800,2017-09-04
2017-09-04,1815,2017-09-04
2017-09-04,1830,2017-09-04
2017-09-04,1845,2017-09-04
2017-09-04,1900,2017-09-04
2017-09-04,1915,2017-09-04
2017-09-04,1930,2017-09-04
2017-09-04,1945,2017-09-04
2017-09-04,2000,2017-09-04
2017-09-04,2015,2017-09-04
2017-09-04,2030,2017-09-04
2017-09-04,2045,2017-09-04
2017-09-04,2100,2017-09-04
2017-09-04,2115,2017-09-04
2017-09-04,2130,2017-09-04
2017-09-04,2145,2017-09-04
2017-09-04,2200,2017-09-04
2017-09-04,2215,2017-09-04
2017-09-04,2230,2017-09-04
2017-09-04,2245,2017-09-04
2017-09-04,2300,2017-09-04
2017-09-04,2315,2017-09-04
2017-09-04,2330,2017-09-04
2017-09-04,2345,2017-09-04
2017-09-05,0000,2017-09-05
2017-09-05,0015,2017-09-05
2017-09-05,0030,2017-09-05
2017-09-05,0045,2017-09-05
2017-09-05,0100,2017-09-05
2017-09-05,0115,2017-09-05
2017-09-05,0130,2017-09-05
2017-09-05,0145,2017-09-05
2017-09-05,0200,2017-09-05
2017-09-05,0215,2017-09-05
2017-09-05,0230,2017-09-05
2017-09-05,0245,2017-09-05
2017-09-05,0300,2017-09-05
2017-09-05,0315,2017-09-05
2017-09-05,0330,2017-09-05
2017-09-05,0345,2017-09-05
2017-09-05,0400,2017-09-05
2017-09-05,0415,2017-09-05
2017-09-05,0430,2017-09-05
2017-09-05,0445,2017-09-05
2017-09-05,0500,2017-09-05
2017-09-05,0515,2017-09-05
2017-09-05,0530,2017-09-05
2017-09-05,0545,2017-09-05
2017-09-05,0600,2017-09-05
2017-09-05,0615,2017-09-05
2017-09-05,0630,2017-09-05
2017-09-05,0645,2017-09-05
2017-09-05,0700,2017-09-05
2017-09-05,0715,2017-09-05
2017-09-05,0730,2017-09-05
2017-09-05,0745,2017-09-05
2017-09-05,0800,2017-09-05
2017-09-05,0815,2017-09-05
2017-09-05,0830,2017-09-05
2017-09-05,0845,2017-09-05
2017-09-05,0900,2017-09-05
2017-09-05,0915,2017-09-05
2017-09-05,0930,2017-09-05
2017-09-05,0945,2017-09-05
2017-09-05,1000,2017-09-05
2017-09-05,1015,2017-09-05
2017-09-05,1030,2017-09-05
2017-09-05,1045,2017-09-05
2017-09-05,1100,2017-09-05
2017-09-05,1115,2017-09-05
2017-09-05,1130,2017-09-05
2017-09-05,1145,2017-09-05
2017-09-05,1200,2017-09-05
2017-09-05,1215,2017-09-05
2017-09-05,1230,2017-09-05
2017-09-05,1245,2017-09-05
2017-09-05,1300,2017-09-05
2017-09-05,1315,2017-09-05
2017-09-05,1330,2017-09-05
2017-09-05,1345,2017-09-05
2017-09-05,1400,2017-09-05
2017-09-05,1415,2017-09-05
2017-09-05,1430,2017-09-05
